Coin,Price,Time
CRO/USDT,0.5577,2021-12-29 19:00:55.880963+00:00
SOL/USDT,176.553,2021-12-29 19:00:57.277448+00:00
UNI/USDT,17.9593,2021-12-29 19:00:59.093270+00:00
ZEC/USDT,147.234,2021-12-29 19:01:00.433384+00:00
XMR/USDT,212.97,2021-12-29 19:01:01.864447+00:00
FIL/USDT,34.8244,2021-12-29 19:01:03.380246+00:00
BTC/USDT,47836.1,2021-12-30 19:00:53.029742+00:00
ETH/USDT,3757.63,2021-12-30 19:00:55.521777+00:00
ADA/USDT,1.366044,2021-12-30 19:00:56.807332+00:00
CRO/USDT,0.5627,2021-12-30 19:00:58.561035+00:00
SOL/USDT,174.745,2021-12-30 19:01:00.132378+00:00
UNI/USDT,17.6336,2021-12-30 19:01:01.371155+00:00
ZEC/USDT,151.898,2021-12-30 19:01:02.925862+00:00
XMR/USDT,226.47,2021-12-30 19:01:04.685428+00:00
FIL/USDT,35.1003,2021-12-30 19:01:06.110274+00:00
BTC/USDT,46625.6,2021-12-31 19:00:54.433577+00:00
ETH/USDT,3700.96,2021-12-31 19:00:55.761605+00:00
ADA/USDT,1.315409,2021-12-31 19:00:57.412701+00:00
CRO/USDT,0.5609,2021-12-31 19:00:58.661333+00:00
SOL/USDT,171.203,2021-12-31 19:01:00.513271+00:00
UNI/USDT,17.9582,2021-12-31 19:01:01.739843+00:00
ZEC/USDT,148.409,2021-12-31 19:01:03.111532+00:00
XMR/USDT,232.81,2021-12-31 19:01:04.458780+00:00
FIL/USDT,34.3528,2021-12-31 19:01:05.833869+00:00
BTC/USDT,47601.4,2022-01-01 19:00:52.257609+00:00
ETH/USDT,3755.43,2022-01-01 19:00:54.887095+00:00
ADA/USDT,1.344953,2022-01-01 19:00:56.090987+00:00
CRO/USDT,0.5789,2022-01-01 19:00:57.444584+00:00
SOL/USDT,175.864,2022-01-01 19:00:59.237766+00:00
UNI/USDT,17.3154,2022-01-01 19:01:00.501350+00:00
ZEC/USDT,149.01,2022-01-01 19:01:01.911872+00:00
XMR/USDT,251.94,2022-01-01 19:01:03.569422+00:00
FIL/USDT,35.4527,2022-01-01 19:01:04.934417+00:00
BTC/USDT,46985.7,2022-01-02 19:00:51.265294+00:00
ETH/USDT,3791.27,2022-01-02 19:00:52.578936+00:00
ADA/USDT,1.366222,2022-01-02 19:00:53.992339+00:00
CRO/USDT,0.5772,2022-01-02 19:00:55.288475+00:00
SOL/USDT,175.501,2022-01-02 19:00:56.488110+00:00
UNI/USDT,17.6826,2022-01-02 19:00:57.696510+00:00
ZEC/USDT,151.808,2022-01-02 19:00:58.937525+00:00
XMR/USDT,242.6,2022-01-02 19:01:00.173283+00:00
FIL/USDT,35.8608,2022-01-02 19:01:01.395770+00:00
BTC/USDT,46466.7,2022-01-03 19:00:57.099504+00:00
ETH/USDT,3752.55,2022-01-03 19:00:58.845586+00:00
ADA/USDT,1.341598,2022-01-03 19:01:01.977124+00:00
CRO/USDT,0.5683,2022-01-03 19:01:04.093773+00:00
SOL/USDT,170.589,2022-01-03 19:01:06.347959+00:00
UNI/USDT,18.3299,2022-01-03 19:01:07.660042+00:00
ZEC/USDT,149.67,2022-01-03 19:01:09.021345+00:00
XMR/USDT,227.03,2022-01-03 19:01:13.641509+00:00
FIL/USDT,34.8602,2022-01-03 19:01:18.733538+00:00
BTC/USDT,45665.7,2022-01-04 19:00:51.681482+00:00
ETH/USDT,3765.2,2022-01-04 19:00:53.233431+00:00
ADA/USDT,1.304779,2022-01-04 19:00:54.495033+00:00
CRO/USDT,0.5469,2022-01-04 19:00:55.793044+00:00
SOL/USDT,167.244,2022-01-04 19:00:57.314217+00:00
UNI/USDT,18.2743,2022-01-04 19:00:58.540626+00:00
ZEC/USDT,147.934,2022-01-04 19:00:59.833160+00:00
XMR/USDT,221.02,2022-01-04 19:01:01.769845+00:00
FIL/USDT,36.623,2022-01-04 19:01:03.309465+00:00
BTC/USDT,45913.2,2022-01-05 19:00:53.573506+00:00
ETH/USDT,3746.73,2022-01-05 19:00:54.866525+00:00
ADA/USDT,1.308924,2022-01-05 19:00:56.077643+00:00
CRO/USDT,0.5296,2022-01-05 19:00:57.295028+00:00
SOL/USDT,163.582,2022-01-05 19:00:58.499635+00:00
UNI/USDT,19.0993,2022-01-05 19:01:00.549333+00:00
ZEC/USDT,148.826,2022-01-05 19:01:01.833499+00:00
XMR/USDT,219.75,2022-01-05 19:01:04.465510+00:00
FIL/USDT,36.4459,2022-01-05 19:01:05.722668+00:00
BTC/USDT,43341.1,2022-01-06 19:00:51.550431+00:00
ETH/USDT,3453.52,2022-01-06 19:00:53.094926+00:00
ADA/USDT,1.252045,2022-01-06 19:00:54.365549+00:00
CRO/USDT,0.51,2022-01-06 19:00:55.669315+00:00
SOL/USDT,153.952,2022-01-06 19:00:57.015900+00:00
UNI/USDT,17.1087,2022-01-06 19:00:58.613453+00:00
ZEC/USDT,137.498,2022-01-06 19:00:59.894373+00:00
XMR/USDT,201.6,2022-01-06 19:01:01.113249+00:00
FIL/USDT,33.2837,2022-01-06 19:01:02.351031+00:00
BTC/USDT,41724.3,2022-01-07 19:00:51.584916+00:00
ETH/USDT,3173.71,2022-01-07 19:00:52.888756+00:00
ADA/USDT,1.221354,2022-01-07 19:00:54.110407+00:00
CRO/USDT,0.4697,2022-01-07 19:00:55.543420+00:00
SOL/USDT,139.719,2022-01-07 19:00:56.783117+00:00
UNI/USDT,15.8611,2022-01-07 19:00:58.025482+00:00
ZEC/USDT,140.195,2022-01-07 19:00:59.496326+00:00
XMR/USDT,198.64,2022-01-07 19:01:00.773397+00:00
FIL/USDT,31.3743,2022-01-07 19:01:02.592102+00:00
BTC/USDT,40611.3,2022-01-08 19:00:58.065432+00:00
ETH/USDT,3004.66,2022-01-08 19:00:59.566293+00:00
ADA/USDT,1.134408,2022-01-08 19:01:01.017527+00:00
CRO/USDT,0.4429,2022-01-08 19:01:02.957439+00:00
SOL/USDT,133.72,2022-01-08 19:01:04.889486+00:00
UNI/USDT,14.5862,2022-01-08 19:01:07.137421+00:00
ZEC/USDT,137.084,2022-01-08 19:01:10.541595+00:00
XMR/USDT,180.96,2022-01-08 19:01:12.510077+00:00
FIL/USDT,28.7476,2022-01-08 19:01:13.769343+00:00
BTC/USDT,41948.8,2022-01-09 19:00:51.753417+00:00
ETH/USDT,3165.63,2022-01-09 19:00:53.241279+00:00
ADA/USDT,1.184352,2022-01-09 19:00:54.649492+00:00
CRO/USDT,0.464,2022-01-09 19:00:56.006422+00:00
SOL/USDT,143.083,2022-01-09 19:00:57.444736+00:00
UNI/USDT,15.9322,2022-01-09 19:00:59.439506+00:00
ZEC/USDT,140.467,2022-01-09 19:01:00.747195+00:00
XMR/USDT,190.7,2022-01-09 19:01:02.324060+00:00
FIL/USDT,30.5643,2022-01-09 19:01:04.621339+00:00
BTC/USDT,41603.4,2022-01-10 19:00:47.254024+00:00
ETH/USDT,3041.05,2022-01-10 19:00:48.553419+00:00
ADA/USDT,1.121298,2022-01-10 19:00:50.029761+00:00
CRO/USDT,0.4457,2022-01-10 19:00:51.292060+00:00
SOL/USDT,133.487,2022-01-10 19:00:53.998038+00:00
UNI/USDT,15.0243,2022-01-10 19:00:55.228978+00:00
ZEC/USDT,139.3,2022-01-10 19:00:56.560622+00:00
XMR/USDT,181.94,2022-01-10 19:00:57.817497+00:00
FIL/USDT,27.8154,2022-01-10 19:00:59.153324+00:00
BTC/USDT,42758.9,2022-01-11 19:00:51.227569+00:00
ETH/USDT,3236.39,2022-01-11 19:00:52.492493+00:00
ADA/USDT,1.189081,2022-01-11 19:00:53.789062+00:00
CRO/USDT,0.4604,2022-01-11 19:00:55.020520+00:00
SOL/USDT,142.357,2022-01-11 19:00:56.228886+00:00
UNI/USDT,16.0103,2022-01-11 19:00:57.441049+00:00
ZEC/USDT,141.398,2022-01-11 19:00:58.720308+00:00
XMR/USDT,189.44,2022-01-11 19:01:00.117428+00:00
FIL/USDT,28.9008,2022-01-11 19:01:01.465451+00:00
BTC/USDT,43594.4,2022-01-12 19:00:53.057372+00:00
ETH/USDT,3372.97,2022-01-12 19:00:54.845451+00:00
ADA/USDT,1.276683,2022-01-12 19:00:56.773414+00:00
CRO/USDT,0.4819,2022-01-12 19:00:58.054491+00:00
SOL/USDT,150.693,2022-01-12 19:00:59.336356+00:00
UNI/USDT,16.4048,2022-01-12 19:01:00.897359+00:00
ZEC/USDT,143.556,2022-01-12 19:01:02.521553+00:00
XMR/USDT,196.99,2022-01-12 19:01:04.645443+00:00
FIL/USDT,30.4399,2022-01-12 19:01:06.637437+00:00
BTC/USDT,42726.4,2022-01-13 19:00:49.391540+00:00
ETH/USDT,3274.11,2022-01-13 19:00:50.877233+00:00
ADA/USDT,1.243916,2022-01-13 19:00:52.761542+00:00
CRO/USDT,0.4617,2022-01-13 19:00:53.997296+00:00
SOL/USDT,149.903,2022-01-13 19:00:55.803798+00:00
UNI/USDT,15.6958,2022-01-13 19:00:57.095547+00:00
ZEC/USDT,142.372,2022-01-13 19:00:59.345360+00:00
XMR/USDT,221.12,2022-01-13 19:01:01.669417+00:00
FIL/USDT,29.061,2022-01-13 19:01:03.809390+00:00
BTC/USDT,43074.8,2022-01-14 19:00:50.337734+00:00
ETH/USDT,3293.51,2022-01-14 19:00:52.469271+00:00
ADA/USDT,1.261068,2022-01-14 19:00:54.025530+00:00
